DATE,TIME,LINK,CURRENCY,IMPACT,DESCRIPTION,DETAIL,ACTUAL,FORECAST,PREVIOUS,GRAPH
Thu Nov 7,9:30pm,,USD,Low Impact Expected,Prelim Nonfarm Productivity q/q,,2.2%,2.6%,Revised from 2.3%,
Thu Nov 7,9:30pm,,USD,Low Impact Expected,Prelim Unit Labor Costs q/q,,1.9%,1.1%,Revised from 0.9%,
Thu Nov 7,10:00pm,,CAD,Low Impact Expected,Gov Council Member Kozicki Speaks,,,,,
Thu Nov 7,11:00pm,,USD,Low Impact Expected,Final Wholesale Inventories m/m,,-0.2%,-0.1%,-0.1%,
Thu Nov 7,11:00pm,,USD,Low Impact Expected,Mortgage Delinquencies,,3.92%,,3.97%,
Thu Nov 7,11:30pm,,USD,Low Impact Expected,Natural Gas Storage,,69B,67B,78B,
Wed Nov 6,2:01am,,USD,Low Impact Expected,10-y Bond Auction,,4.35|2.6,,4.07|2.5,
Wed Nov 6,2:30am,,CAD,Low Impact Expected,BOC Summary of Deliberations,,,,,
Wed Nov 6,5:30am,,USD,Low Impact Expected,API Weekly Statistical Bulletin,,,,,
Wed Nov 6,5:45am,,NZD,High Impact Expected,Employment Change q/q,,-0.5%,-0.4%,Revised from 0.4%,
Wed Nov 6,5:45am,,NZD,High Impact Expected,Unemployment Rate,,4.8%,5.0%,4.6%,
Wed Nov 6,5:45am,,NZD,Low Impact Expected,Labor Cost Index q/q,,0.6%,0.7%,0.9%,
Wed Nov 6,7:50am,,JPY,Low Impact Expected,Monetary Policy Meeting Minutes,,,,,
Wed Nov 6,3:00pm,,EUR,Low Impact Expected,German Factory Orders m/m,,4.2%,1.6%,Revised from -5.8%,
Wed Nov 6,4:15pm,,EUR,Low Impact Expected,Spanish Services PMI,,54.9,56.6,57.0,
Wed Nov 6,4:45pm,,EUR,Low Impact Expected,Italian Services PMI,,52.4,50.3,50.5,
Wed Nov 6,4:50pm,,EUR,Low Impact Expected,French Final Services PMI,,49.2,48.3,48.3,
Wed Nov 6,4:55pm,,EUR,Low Impact Expected,German Final Services PMI,,51.6,51.4,51.4,
Wed Nov 6,5:00pm,,EUR,Low Impact Expected,Final Services PMI,,51.6,51.2,51.2,
Wed Nov 6,5:30pm,,GBP,Medium Impact Expected,Construction PMI,,54.3,55.3,57.2,
Wed Nov 6,6:00pm,,EUR,Low Impact Expected,PPI m/m,,-0.6%,-0.5%,0.6%,
Wed Nov 6,10:00pm,,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,,,
Wed Nov 6,11:00pm,,CAD,Medium Impact Expected,Ivey PMI,,52.0,54.2,53.1,
Wed Nov 6,11:30pm,,USD,Medium Impact Expected,Crude Oil Inventories,,2.1M,0.3M,-0.5M,
Tue Nov 5,4:00am,,NZD,Low Impact Expected,RBNZ Financial Stability Report,,,,,
Tue Nov 5,7:50am,,JPY,Low Impact Expected,Monetary Base y/y,,-0.3%,0.3%,-0.1%,
Tue Nov 5,8:00am,,NZD,Low Impact Expected,ANZ Commodity Prices m/m,,1.4%,,1.8%,
Tue Nov 5,8:01am,,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,,0.3%,1.4%,1.7%,
Tue Nov 5,9:45am,,CNY,Low Impact Expected,Caixin Services PMI,,52.0,50.5,50.3,
Tue Nov 5,11:30am,,AUD,High Impact Expected,Cash Rate,,4.35%,4.35%,4.35%,
Tue Nov 5,11:30am,,AUD,High Impact Expected,RBA Monetary Policy Statement,,,,,
Tue Nov 5,11:30am,,AUD,High Impact Expected,RBA Rate Statement,,,,,
Tue Nov 5,12:30pm,,AUD,Medium Impact Expected,RBA Press Conference,,,,,
Tue Nov 5,2:45pm,,CHF,Low Impact Expected,Unemployment Rate,,2.6%,2.6%,2.6%,
Tue Nov 5,3:45pm,,EUR,Low Impact Expected,French Gov Budget Balance,,-173.8B,,-171.9B,
Tue Nov 5,3:45pm,,EUR,Low Impact Expected,French Industrial Production m/m,,-0.9%,-0.5%,Revised from 1.4%,
Tue Nov 5,4:00pm,,EUR,Low Impact Expected,Spanish Unemployment Change,,26.8K,26.5K,3.2K,
Tue Nov 5,5:30pm,,GBP,Low Impact Expected,Final Services PMI,,52.0,51.8,51.8,
Tue Nov 5,6:03pm,,GBP,Low Impact Expected,10-y Bond Auction,,4.48|2.8,,4.17|3.3,
Tue Nov 5,All Day,,EUR,Low Impact Expected,ECOFIN Meetings,,,,,
Tue Nov 5,9:30pm,,CAD,Low Impact Expected,Trade Balance,,-1.3B,-0.9B,Revised from -1.1B,
Tue Nov 5,9:30pm,,USD,Low Impact Expected,Trade Balance,,-84.4B,-83.8B,Revised from -70.4B,
Tue Nov 5,10:45pm,,USD,Medium Impact Expected,Final Services PMI,,55.0,55.3,55.3,
Tue Nov 5,11:00pm,,USD,High Impact Expected,ISM Services PMI,,56.0,53.8,54.9,
Tue Nov 5,11:10pm,,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,,,
Tue Nov 5,All Day,,USD,High Impact Expected,Presidential Election,,,,,
Tue Nov 5,All Day,,USD,High Impact Expected,Congressional Elections,,,,,
Tue Nov 5,11:21pm,,NZD,Low Impact Expected,GDT Price Index,,4.8%,,-0.3%,
Mon Nov 4,8:00am,,AUD,Low Impact Expected,MI Inflation Gauge m/m,,0.3%,,0.1%,
Mon Nov 4,All Day,,JPY,Non-Economic,Bank Holiday,,,,,
Mon Nov 4,8:30am,,AUD,Low Impact Expected,ANZ Job Advertisements m/m,,0.3%,,Revised from 1.6%,
Mon Nov 4,4:15pm,,EUR,Low Impact Expected,Spanish Manufacturing PMI,,54.5,53.1,53.0,
Mon Nov 4,4:45pm,,EUR,Low Impact Expected,Italian Manufacturing PMI,,46.9,48.8,48.3,
Mon Nov 4,4:50pm,,EUR,Low Impact Expected,French Final Manufacturing PMI,,44.5,44.5,44.5,
Mon Nov 4,4:55pm,,EUR,Low Impact Expected,German Final Manufacturing PMI,,43.0,42.6,42.6,
Mon Nov 4,5:00pm,,EUR,Low Impact Expected,Final Manufacturing PMI,,46.0,45.9,45.9,
Mon Nov 4,5:30pm,,EUR,Low Impact Expected,Sentix Investor Confidence,,-12.8,-12.7,-13.8,
Mon Nov 4,All Day,,EUR,Low Impact Expected,Eurogroup Meetings,,,,,
Mon Nov 4,11:00pm,,USD,Low Impact Expected,Factory Orders m/m,,-0.5%,-0.4%,Revised from -0.2%,
Fri Nov 1,5:45am,,NZD,Low Impact Expected,Building Consents m/m,,2.6%,,Revised from -5.3%,
Fri Nov 1,8:30am,,AUD,Low Impact Expected,PPI q/q,,0.9%,0.7%,1.0%,
Fri Nov 1,8:30am,,JPY,Low Impact Expected,Final Manufacturing PMI,,49.2,49.0,49.0,
Fri Nov 1,9:45am,,CNY,Low Impact Expected,Caixin Manufacturing PMI,,50.3,49.7,49.3,
Fri Nov 1,1:30pm,,AUD,Low Impact Expected,Commodity Prices y/y,,-7.8%,,Revised from -10.1%,
Fri Nov 1,All Day,,EUR,Non-Economic,French Bank Holiday,,,,,
Fri Nov 1,All Day,,EUR,Non-Economic,Italian Bank Holiday,,,,,
Fri Nov 1,3:00pm,,GBP,Low Impact Expected,Nationwide HPI m/m,,0.1%,0.3%,Revised from 0.7%,
Fri Nov 1,3:30pm,,CHF,High Impact Expected,CPI m/m,,-0.1%,0.0%,-0.3%,
Fri Nov 1,3:30pm,,CHF,Low Impact Expected,Retail Sales y/y,,2.2%,2.5%,Revised from 3.2%,
Fri Nov 1,4:30pm,,CHF,Low Impact Expected,Manufacturing PMI,,49.9,49.5,49.9,
Fri Nov 1,5:30pm,,GBP,Low Impact Expected,Final Manufacturing PMI,,49.9,50.3,50.3,
Fri Nov 1,8:30pm,,USD,High Impact Expected,Average Hourly Earnings m/m,,0.4%,0.3%,Revised from 0.4%,
Fri Nov 1,8:30pm,,USD,High Impact Expected,Non-Farm Employment Change,,12K,106K,Revised from 254K,
Fri Nov 1,8:30pm,,USD,High Impact Expected,Unemployment Rate,,4.1%,4.1%,4.1%,
Fri Nov 1,9:30pm,,CAD,Low Impact Expected,Manufacturing PMI,,51.1,,50.4,
Fri Nov 1,9:45pm,,USD,Low Impact Expected,Final Manufacturing PMI,,48.5,47.8,47.8,
Fri Nov 1,10:00pm,,USD,High Impact Expected,ISM Manufacturing PMI,,46.5,47.6,47.2,
Fri Nov 1,10:00pm,,USD,Medium Impact Expected,ISM Manufacturing Prices,,54.8,49.9,48.3,
Fri Nov 1,10:00pm,,USD,Low Impact Expected,Construction Spending m/m,,0.1%,0.0%,Revised from -0.1%,
Fri Nov 1,All Day,,USD,Low Impact Expected,Wards Total Vehicle Sales,,16.0M,15.8M,15.8M,
Thu Oct 31,2:00am,,EUR,Low Impact Expected,German Buba President Nagel Speaks,,,,,
Thu Oct 31,4:15am,,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,,,
Thu Oct 31,7:50am,,JPY,Low Impact Expected,Prelim Industrial Production m/m,,1.4%,0.9%,-3.3%,
Thu Oct 31,7:50am,,JPY,Low Impact Expected,Retail Sales y/y,,0.5%,2.1%,Revised from 2.8%,
Thu Oct 31,8:00am,,NZD,Low Impact Expected,ANZ Business Confidence,,65.7,,60.9,
Thu Oct 31,8:30am,,AUD,Medium Impact Expected,Retail Sales m/m,,0.1%,0.3%,0.7%,
Thu Oct 31,8:30am,,AUD,Low Impact Expected,Building Approvals m/m,,4.4%,2.2%,Revised from -6.1%,
Thu Oct 31,8:30am,,AUD,Low Impact Expected,Import Prices q/q,,-1.4%,-0.2%,1.0%,
Thu Oct 31,8:30am,,AUD,Low Impact Expected,Private Sector Credit m/m,,0.5%,0.5%,0.5%,
Thu Oct 31,9:30am,,CNY,High Impact Expected,Manufacturing PMI,,50.1,49.8,49.8,
Thu Oct 31,9:30am,,CNY,Medium Impact Expected,Non-Manufacturing PMI,,50.2,50.4,50.0,
Thu Oct 31,9:35am,,GBP,Low Impact Expected,MPC Member Breeden Speaks,,,,,
Thu Oct 31,10:48am,,JPY,High Impact Expected,BOJ Outlook Report,,,,,
Thu Oct 31,10:48am,,JPY,High Impact Expected,BOJ Policy Rate,,<0.25%,<0.25%,<0.25%,
Thu Oct 31,10:48am,,JPY,High Impact Expected,Monetary Policy Statement,,,,,
Thu Oct 31,1:00pm,,JPY,Low Impact Expected,Housing Starts y/y,,-0.6%,-4.2%,-5.1%,
Thu Oct 31,2:30pm,,JPY,High Impact Expected,BOJ Press Conference,,,,,
Thu Oct 31,3:00pm,,EUR,Low Impact Expected,German Import Prices m/m,,-0.4%,-0.4%,-0.4%,
Thu Oct 31,3:00pm,,EUR,Low Impact Expected,German Retail Sales m/m,,1.2%,-0.7%,1.6%,
Thu Oct 31,3:45pm,,EUR,Low Impact Expected,French Prelim CPI m/m,,0.2%,0.2%,-1.2%,
Thu Oct 31,5:00pm,,EUR,Low Impact Expected,ECB Economic Bulletin,,,,,
Thu Oct 31,5:00pm,,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,,6.1%,6.2%,Revised from 6.2%,
Thu Oct 31,6:00pm,,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,,2.7%,2.6%,2.7%,
Thu Oct 31,6:00pm,,EUR,Medium Impact Expected,CPI Flash Estimate y/y,,2.0%,1.9%,Revised from 1.8%,
Thu Oct 31,6:00pm,,EUR,Low Impact Expected,Italian Prelim CPI m/m,,0.0%,-0.1%,-0.2%,
Thu Oct 31,6:00pm,,EUR,Low Impact Expected,Unemployment Rate,,6.3%,6.4%,Revised from 6.4%,
Thu Oct 31,6:03pm,,GBP,Low Impact Expected,30-y Bond Auction,,4.83|3.1,,4.33|2.9,
Thu Oct 31,7:30pm,,USD,Low Impact Expected,Challenger Job Cuts y/y,,50.9%,,53.4%,
Thu Oct 31,8:30pm,,CAD,High Impact Expected,GDP m/m,,0.0%,0.0%,Revised from 0.2%,
Thu Oct 31,8:30pm,,USD,High Impact Expected,Core PCE Price Index m/m,,0.3%,0.3%,Revised from 0.1%,
Thu Oct 31,8:30pm,,USD,High Impact Expected,Employment Cost Index q/q,,0.8%,0.9%,0.9%,
Thu Oct 31,8:30pm,,USD,High Impact Expected,Unemployment Claims,,216K,229K,Revised from 227K,
Thu Oct 31,8:30pm,,USD,Low Impact Expected,Personal Income m/m,,0.3%,0.3%,0.2%,
Thu Oct 31,8:30pm,,USD,Low Impact Expected,Personal Spending m/m,,0.5%,0.4%,Revised from 0.2%,
Thu Oct 31,9:45pm,,USD,Medium Impact Expected,Chicago PMI,,41.6,46.9,46.6,
Thu Oct 31,10:30pm,,USD,Low Impact Expected,Natural Gas Storage,,78B,79B,80B,
Wed Oct 30,2:00am,,CHF,High Impact Expected,SNB Chairman Schlegel Speaks,,,,,
Wed Oct 30,3:30am,,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,,,
Wed Oct 30,4:30am,,USD,Low Impact Expected,API Weekly Statistical Bulletin,,,,,
Wed Oct 30,8:30am,,AUD,High Impact Expected,CPI q/q,,0.2%,0.3%,1.0%,
Wed Oct 30,8:30am,,AUD,High Impact Expected,CPI y/y,,2.1%,2.3%,2.7%,
Wed Oct 30,8:30am,,AUD,High Impact Expected,Trimmed Mean CPI q/q,,0.8%,0.8%,Revised from 0.8%,
Wed Oct 30,1:00pm,,JPY,Low Impact Expected,Consumer Confidence,,36.2,36.7,36.9,
Wed Oct 30,All Day,,EUR,High Impact Expected,German Prelim CPI m/m,,0.4%,0.2%,0.0%,
Wed Oct 30,2:30pm,,EUR,Low Impact Expected,French Consumer Spending m/m,,0.1%,0.1%,Revised from 0.2%,
Wed Oct 30,2:30pm,,EUR,Low Impact Expected,French Flash GDP q/q,,0.4%,0.3%,Revised from 0.3%,
Wed Oct 30,4:00pm,,CHF,Low Impact Expected,KOF Economic Barometer,,99.5,105.1,Revised from 105.5,
Wed Oct 30,4:00pm,,EUR,Medium Impact Expected,Spanish Flash CPI y/y,,1.8%,1.7%,1.5%,
Wed Oct 30,4:00pm,,EUR,Low Impact Expected,Spanish Flash GDP q/q,,0.8%,0.6%,0.8%,
Wed Oct 30,4:55pm,,EUR,Low Impact Expected,German Unemployment Change,,27K,15K,Revised from 17K,
Wed Oct 30,5:00pm,,CHF,High Impact Expected,SNB Chairman Schlegel Speaks,,,,,
Wed Oct 30,5:00pm,,CHF,Low Impact Expected,UBS Economic Expectations,,-7.7,,-8.8,
Wed Oct 30,5:00pm,,EUR,Low Impact Expected,Italian Prelim GDP q/q,,0.0%,0.2%,0.2%,
Wed Oct 30,5:00pm,,EUR,Low Impact Expected,German Prelim GDP q/q,,0.2%,-0.1%,Revised from -0.1%,
Wed Oct 30,6:00pm,,EUR,Low Impact Expected,Prelim Flash GDP q/q,,0.4%,0.2%,Revised from 0.3%,
Wed Oct 30,6:22pm,,EUR,Low Impact Expected,Italian 10-y Bond Auction,,3.57|1.6,,3.43|1.6,
Wed Oct 30,8:15pm,,USD,High Impact Expected,ADP Non-Farm Employment Change,,233K,110K,Revised from 143K,
Wed Oct 30,8:30pm,,USD,High Impact Expected,Advance GDP q/q,,2.8%,3.0%,Revised from 2.8%,
Wed Oct 30,8:30pm,,USD,Medium Impact Expected,Advance GDP Price Index q/q,,1.8%,1.9%,Revised from 2.3%,
Wed Oct 30,8:33pm,,GBP,Medium Impact Expected,Autumn Forecast Statement,,,,,
Wed Oct 30,10:00pm,,USD,Medium Impact Expected,Pending Home Sales m/m,,7.4%,1.9%,0.6%,
Wed Oct 30,10:30pm,,USD,Medium Impact Expected,Crude Oil Inventories,,-0.5M,1.5M,5.5M,
Tue Oct 29,1:30am,,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,,,
Tue Oct 29,7:30am,,JPY,Low Impact Expected,Unemployment Rate,,2.4%,2.5%,2.5%,
Tue Oct 29,8:01am,,GBP,Low Impact Expected,BRC Shop Price Index y/y,,-0.8%,,-0.6%,
Tue Oct 29,3:00pm,,EUR,Low Impact Expected,German GfK Consumer Climate,,-18.3,-20.4,Revised from -21.2,
Tue Oct 29,5:30pm,,GBP,Low Impact Expected,M4 Money Supply m/m,,0.6%,0.1%,-0.1%,
Tue Oct 29,5:30pm,,GBP,Low Impact Expected,Mortgage Approvals,,66K,65K,65K,
Tue Oct 29,5:30pm,,GBP,Low Impact Expected,Net Lending to Individuals m/m,,3.8B,4.1B,4.2B,
Tue Oct 29,8:30pm,,USD,Low Impact Expected,Goods Trade Balance,,-108.2B,-95.9B,Revised from -94.3B,
Tue Oct 29,8:30pm,,USD,Low Impact Expected,Prelim Wholesale Inventories m/m,,-0.1%,0.1%,Revised from 0.2%,
Tue Oct 29,9:00pm,,USD,Medium Impact Expected,S&P/CS Composite-20 HPI y/y,,5.2%,4.9%,5.9%,
Tue Oct 29,9:00pm,,USD,Low Impact Expected,HPI m/m,,0.3%,0.1%,Revised from 0.1%,
Tue Oct 29,10:00pm,,USD,High Impact Expected,CB Consumer Confidence,,108.7,99.5,Revised from 98.7,
Tue Oct 29,10:00pm,,USD,High Impact Expected,JOLTS Job Openings,,7.44M,7.98M,Revised from 8.04M,
Mon Oct 28,All Day,,NZD,Non-Economic,Bank Holiday,,,,,
Mon Oct 28,7:00pm,,GBP,Low Impact Expected,CBI Realized Sales,,-6,-9,4,
Mon Oct 28,9:00pm,,CNY,Low Impact Expected,CB Leading Index m/m,,-0.2%,,-0.2%,
Fri Oct 25,3:45am,,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,,
Fri Oct 25,7:01am,,GBP,Low Impact Expected,GfK Consumer Confidence,,-21,-20,-20,
Fri Oct 25,7:30am,,JPY,Medium Impact Expected,Tokyo Core CPI y/y,,1.8%,1.7%,2.0%,
Fri Oct 25,7:50am,,JPY,Low Impact Expected,SPPI y/y,,2.6%,2.7%,Revised from 2.7%,
Fri Oct 25,12:30pm,,AUD,Low Impact Expected,RBA Annual Report,,,,,
Fri Oct 25,3:00pm,,EUR,Low Impact Expected,Spanish Unemployment Rate,,11.2%,11.4%,11.3%,
Fri Oct 25,4:00pm,,EUR,Medium Impact Expected,German ifo Business Climate,,86.5,85.6,85.4,
Fri Oct 25,4:00pm,,EUR,Low Impact Expected,M3 Money Supply y/y,,3.2%,2.9%,2.9%,
Fri Oct 25,4:00pm,,EUR,Low Impact Expected,Private Loans y/y,,0.7%,0.8%,0.6%,
Fri Oct 25,5:01pm,,CNY,Low Impact Expected,Foreign Direct Investment ytd/y,,-30.4%,,-31.5%,
Fri Oct 25,8:30pm,,CAD,High Impact Expected,Core Retail Sales m/m,,-0.7%,0.3%,Revised from 0.4%,
Fri Oct 25,8:30pm,,CAD,High Impact Expected,Retail Sales m/m,,0.4%,0.5%,0.9%,
Fri Oct 25,8:30pm,,CAD,Low Impact Expected,NHPI m/m,,0.0%,0.2%,0.0%,
Fri Oct 25,8:30pm,,USD,Medium Impact Expected,Core Durable Goods Orders m/m,,0.4%,-0.1%,Revised from 0.5%,
Fri Oct 25,8:30pm,,USD,Medium Impact Expected,Durable Goods Orders m/m,,-0.8%,-1.1%,Revised from 0.0%,
Fri Oct 25,8:55pm,,EUR,Low Impact Expected,Belgian NBB Business Climate,,-12.8,-12.7,-13.3,
Fri Oct 25,10:00pm,,USD,Medium Impact Expected,Revised UoM Consumer Sentiment,,70.5,69.2,68.9,
Fri Oct 25,10:00pm,,USD,Low Impact Expected,Revised UoM Inflation Expectations,,2.7%,,2.9%,
Fri Oct 25,Day 5,,All,Low Impact Expected,IMF Meetings,,,,,
Fri Oct 25,11:00pm,,USD,Low Impact Expected,FOMC Member Collins Speaks,,,,,
Thu Oct 24,12:00am,,USD,Low Impact Expected,FOMC Member Barkin Speaks,,,,,
Thu Oct 24,12:57am,,NZD,Medium Impact Expected,RBNZ Gov Orr Speaks,,,,,
Thu Oct 24,2:00am,,USD,Low Impact Expected,Beige Book,,,,,
Thu Oct 24,2:45am,,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,,
Thu Oct 24,6:00am,,AUD,Low Impact Expected,Flash Manufacturing PMI,,46.6,,46.7,
Thu Oct 24,6:00am,,AUD,Low Impact Expected,Flash Services PMI,,50.6,,Revised from 50.6,
Thu Oct 24,8:30am,,JPY,Low Impact Expected,Flash Manufacturing PMI,,49.0,49.9,Revised from 49.6,
Thu Oct 24,3:15pm,,EUR,High Impact Expected,French Flash Manufacturing PMI,,44.5,44.9,Revised from 44.0,
Thu Oct 24,3:15pm,,EUR,High Impact Expected,French Flash Services PMI,,48.3,49.8,Revised from 48.3,
Thu Oct 24,3:30pm,,EUR,High Impact Expected,German Flash Manufacturing PMI,,42.6,40.7,Revised from 40.3,
Thu Oct 24,3:30pm,,EUR,High Impact Expected,German Flash Services PMI,,51.4,50.6,50.6,
Thu Oct 24,4:00pm,,EUR,Medium Impact Expected,Flash Manufacturing PMI,,45.9,45.1,Revised from 44.8,
Thu Oct 24,4:00pm,,EUR,Medium Impact Expected,Flash Services PMI,,51.2,51.5,Revised from 50.5,
Thu Oct 24,Day 3,,All,Medium Impact Expected,BRICS Summit,,,,,
Thu Oct 24,4:30pm,,GBP,High Impact Expected,Flash Manufacturing PMI,,50.3,51.5,51.5,
Thu Oct 24,4:30pm,,GBP,High Impact Expected,Flash Services PMI,,51.8,52.3,Revised from 52.8,
Thu Oct 24,6:00pm,,EUR,Low Impact Expected,German Buba Monthly Report,,,,,
Thu Oct 24,6:00pm,,GBP,Low Impact Expected,CBI Industrial Order Expectations,,-27,-28,-35,
Thu Oct 24,8:30pm,,USD,High Impact Expected,Unemployment Claims,,227K,243K,Revised from 241K,
Thu Oct 24,8:45pm,,USD,Low Impact Expected,FOMC Member Hammack Speaks,,,,,
Thu Oct 24,9:00pm,,GBP,Low Impact Expected,MPC Member Mann Speaks,,,,,
Thu Oct 24,9:45pm,,USD,High Impact Expected,Flash Manufacturing PMI,,47.8,47.5,Revised from 47.0,
Thu Oct 24,9:45pm,,USD,High Impact Expected,Flash Services PMI,,55.3,55.0,Revised from 55.4,
Thu Oct 24,10:00pm,,USD,Medium Impact Expected,New Home Sales,,738K,719K,Revised from 716K,
Thu Oct 24,Day 4,,All,Low Impact Expected,IMF Meetings,,,,,
Thu Oct 24,10:30pm,,USD,Low Impact Expected,Natural Gas Storage,,80B,61B,76B,
Wed Oct 23,3:15am,,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,,,
Wed Oct 23,3:15am,,GBP,Low Impact Expected,MPC Member Breeden Speaks,,,,,
Wed Oct 23,4:30am,,USD,Low Impact Expected,API Weekly Statistical Bulletin,,,,,
Wed Oct 23,Day 2,,All,Medium Impact Expected,BRICS Summit,,,,,
Wed Oct 23,5:37pm,,EUR,Low Impact Expected,German 10-y Bond Auction,,2.31|2.3,,2.08|2.0,
Wed Oct 23,9:00pm,,GBP,Low Impact Expected,MPC Member Breeden Speaks,,,,,
Wed Oct 23,9:00pm,,USD,Low Impact Expected,FOMC Member Bowman Speaks,,,,,
Wed Oct 23,9:45pm,,CAD,High Impact Expected,BOC Monetary Policy Report,,,,,
Wed Oct 23,9:45pm,,CAD,High Impact Expected,BOC Rate Statement,,,,,
Wed Oct 23,9:45pm,,CAD,High Impact Expected,Overnight Rate,,3.75%,3.75%,4.25%,
Wed Oct 23,10:00pm,,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,,,
Wed Oct 23,10:00pm,,EUR,Low Impact Expected,Consumer Confidence,,-13,-12,-13,
Wed Oct 23,10:00pm,,USD,Medium Impact Expected,Existing Home Sales,,3.84M,3.88M,Revised from 3.86M,
Wed Oct 23,Day 3,,All,Low Impact Expected,IMF Meetings,,,,,
Wed Oct 23,10:30pm,,CAD,High Impact Expected,BOC Press Conference,,,,,
Wed Oct 23,10:30pm,,USD,Medium Impact Expected,Crude Oil Inventories,,5.5M,0.9M,-2.2M,
Tue Oct 22,1:00am,,USD,Low Impact Expected,FOMC Member Kashkari Speaks,,,,,
Tue Oct 22,5:05am,,USD,Low Impact Expected,FOMC Member Schmid Speaks,,,,,
Tue Oct 22,5:45am,,NZD,Low Impact Expected,Trade Balance,,-2108M,-2100M,Revised from -2203M,
Tue Oct 22,6:40am,,USD,Low Impact Expected,FOMC Member Daly Speaks,,,,,
Tue Oct 22,1:00pm,,JPY,Low Impact Expected,BOJ Core CPI y/y,,1.7%,1.8%,1.8%,
Tue Oct 22,2:00pm,,GBP,Low Impact Expected,Public Sector Net Borrowing,,16.6B,17.4B,Revised from 13.7B,
Tue Oct 22,Day 1,,All,Medium Impact Expected,BRICS Summit,,,,,
Tue Oct 22,8:30pm,,CAD,Low Impact Expected,IPPI m/m,,-0.6%,-0.4%,Revised from -0.8%,
Tue Oct 22,8:30pm,,CAD,Low Impact Expected,RMPI m/m,,-3.1%,-1.7%,Revised from -3.1%,
Tue Oct 22,9:25pm,,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,,
Tue Oct 22,9:45pm,,GBP,Low Impact Expected,MPC Member Greene Speaks,,,,,
Tue Oct 22,9:59pm,,USD,Medium Impact Expected,Richmond Manufacturing Index,,-14,-19,-21,
Tue Oct 22,10:00pm,,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,,,
Tue Oct 22,10:00pm,,USD,Medium Impact Expected,FOMC Member Harker Speaks,,,,,
Tue Oct 22,Day 2,,All,Low Impact Expected,IMF Meetings,,,,,
Mon Oct 21,7:01am,,GBP,Low Impact Expected,Rightmove HPI m/m,,0.3%,,0.8%,
Mon Oct 21,9:00am,,AUD,Low Impact Expected,RBA Deputy Gov Hauser Speaks,,,,,
Mon Oct 21,9:00am,,CNY,Medium Impact Expected,1-y Loan Prime Rate,,3.10%,3.15%,3.35%,
Mon Oct 21,9:00am,,CNY,Medium Impact Expected,5-y Loan Prime Rate,,3.60%,3.65%,3.85%,
Mon Oct 21,10:00am,,NZD,Low Impact Expected,Credit Card Spending y/y,,-3.2%,,-3.1%,
Mon Oct 21,2:00pm,,EUR,Low Impact Expected,German PPI m/m,,-0.5%,-0.2%,0.2%,
Mon Oct 21,8:55pm,,USD,Low Impact Expected,FOMC Member Logan Speaks,,,,,
Mon Oct 21,10:00pm,,USD,Low Impact Expected,CB Leading Index m/m,,-0.5%,-0.3%,Revised from -0.2%,
Mon Oct 21,Day 1,,All,Low Impact Expected,IMF Meetings,,,,,
Fri Oct 18,3:00am,,USD,Medium Impact Expected,Treasury Sec Yellen Speaks,,,,,
Fri Oct 18,4:00am,,USD,Low Impact Expected,TIC Long-Term Purchases,,111.4B,58.9B,Revised from 135.4B,
Fri Oct 18,7:30am,,JPY,Low Impact Expected,National Core CPI y/y,,2.4%,2.3%,2.8%,
Fri Oct 18,9:30am,,CNY,Low Impact Expected,New Home Prices m/m,,-0.71%,,-0.73%,
Fri Oct 18,10:00am,,CNY,Medium Impact Expected,GDP q/y,,4.6%,4.6%,4.7%,
Fri Oct 18,10:00am,,CNY,Medium Impact Expected,Industrial Production y/y,,5.4%,4.6%,4.5%,
Fri Oct 18,10:00am,,CNY,Medium Impact Expected,Retail Sales y/y,,3.2%,2.5%,2.1%,
Fri Oct 18,10:00am,,CNY,Low Impact Expected,Fixed Asset Investment ytd/y,,3.4%,3.3%,3.4%,
Fri Oct 18,10:00am,,CNY,Low Impact Expected,NBS Press Conference,,,,,
Fri Oct 18,10:00am,,CNY,Low Impact Expected,Unemployment Rate,,5.1%,5.3%,5.3%,
Fri Oct 18,2:00pm,,GBP,High Impact Expected,Retail Sales m/m,,0.3%,-0.4%,1.0%,
Fri Oct 18,4:00pm,,EUR,Low Impact Expected,Current Account,,31.5B,42.2B,Revised from 39.6B,
Fri Oct 18,8:30pm,,USD,Medium Impact Expected,Building Permits,,1.43M,1.45M,Revised from 1.48M,
Fri Oct 18,8:30pm,,USD,Low Impact Expected,Housing Starts,,1.35M,1.35M,1.36M,
